pca1,pca2,kmeans_res,allele,cisFreq,crypFreq
9.441644,0.13826124,2,Abelin-B5101,0.927793465106898,0.36511156186612576
7.3883557,3.9962606,1,Sarkizova-C0501,1.017293997965412,0.4094165813715456
6.7195516,1.6123973,4,Abelin-A0101,1.1152416356877324,0.4366812227074236
3.6358407,4.8253183,3,Abelin-A0204,0.8504058755315037,0.46565774155995343
7.496765,4.11761,1,Sarkizova-C0403,2.6613439787092483,0.47619047619047616
4.2940392,3.8886027,3,Sarkizova-B5201,1.774622892635315,0.4943820224719101
4.764836,3.6998484,3,Abelin-A6802,4.642349597347229,0.5925925925925926
8.436216,7.054719,5,Sarkizova-B1801,2.0563594821020565,0.6182380216383307
4.5262165,4.0753455,3,Sarkizova-B1302,1.1814345991561181,0.6223479490806223
8.238902,7.257246,5,Abelin-B4403,0.4905395935529082,0.6298110566829951
4.036994,4.065544,3,Sarkizova-A0206,0.705408128988915,0.6386554621848739
7.3758006,4.0685344,1,Sarkizova-C0802,1.6371798257195669,0.6401707121899173
3.6842308,4.5881367,3,K562_MMlab-A0201,2.2863051470588234,0.6541291905151267
6.837029,3.887179,1,Sarkizova-C1701,3.106332138590203,0.6736068585425597
9.4095745,0.5406831,2,Abelin-B3501,0.31746031746031744,0.6852925672113864
6.8096523,2.8572364,4,Sarkizova-C0202,1.3271783035199076,0.7544979686593152
4.621315,4.8857527,3,K562_MMlab-B0801,0.5611340815121086,0.7662835249042146
7.858491,7.029852,5,K562_MMlab-B4001,2.349155269509252,0.784698381559588
7.80475,7.166356,5,Sarkizova-B4002,0.8561643835616438,0.799543118218161
7.977526,7.1773896,5,Sarkizova-B4901,2.34375,0.814366256003341
3.839198,4.4047427,3,Abelin-A0207,1.8810148731408574,0.8180411231483529
7.9449654,7.1360626,5,Sarkizova-B4001,1.418812401471361,0.8194554586307163
5.9160533,4.934686,1,Sarkizova-C0602,2.0399666944213157,0.8428150021070375
7.2949805,4.464329,1,Sarkizova-C0401,3.8530465949820787,0.8775981524249422
3.7884128,4.7688003,3,Sarkizova-A0202,1.2838468720821663,0.890555425357394
3.6106648,4.5057335,3,Abelin-A0203,2.0,0.931098696461825
5.548844,3.734138,1,Sarkizova-C1502,1.5505522514868308,0.9615384615384616
4.4857593,4.4710083,3,Sarkizova-A0205,1.0380622837370241,0.9891196834817013
6.56699,1.4837648,4,Sarkizova-A3601,2.013162988772745,1.0168165819319515
7.6447945,6.7954836,5,Sarkizova-B3701,8.604282315622521,1.03048518677544
6.3410473,4.26235,1,Sarkizova-C0704,2.515177797051171,1.056338028169014
6.7882953,1.6948651,4,K562_MMlab-A0101,2.338530066815145,1.1273957158962795
6.45947,2.41299,4,K562_MMlab-B1501,0.7713707637835103,1.146384479717813
3.7657824,4.5496573,3,Abelin-A0201,1.6152019002375297,1.1691720353137676
6.434561,1.7163497,4,Abelin-A2902,0.5184705119896306,1.2226512226512227
8.252452,6.981226,5,Abelin-B4402,0.9402283411685695,1.2717536813922357
4.326776,5.055846,3,Sarkizova-B0801,0.547945205479452,1.2916383412644459
6.625465,3.8220606,1,Sarkizova-C0303,1.6052169551040882,1.3826043237807943
4.3684015,4.1901107,3,Sarkizova-B1301,0.8807985907222549,1.382667964946446
6.2886305,2.217224,4,Sarkizova-B1501,1.11646234676007,1.3970748744815542
6.883705,2.5451975,4,Sarkizova-B4601,3.5226455787203452,1.4684287812041117
6.968843,3.7111115,1,Sarkizova-C0801,2.70495214315439,1.4749262536873156
9.3644,0.24810086,2,Sarkizova-B3503,1.8130311614730878,1.4781125639567936
6.986691,3.2622595,4,Sarkizova-C0302,1.3897662665824384,1.5141955835962144
6.6373906,3.7546005,1,Sarkizova-C0304,2.386934673366834,1.5521064301552105
5.973023,4.728617,1,Sarkizova-C0701,3.607060629316961,1.567398119122257
9.705306,0.5242188,2,Sarkizova-B3507,1.098901098901099,1.680672268907563
5.7689533,1.9909078,4,Sarkizova-A2601,3.530060672917816,1.6863406408094435
5.832452,3.4869156,4,Sarkizova-B1517,1.8687329079307202,1.6894977168949772
3.5018435,4.692407,3,Sarkizova-A0211,0.8896797153024911,1.7290049400141143
5.642849,4.735612,1,Sarkizova-B1402,2.7285782671134515,1.7408123791102514
6.330269,1.7969443,4,Sarkizova-A3002,0.8029441284710606,1.7886717456111294
6.1550803,4.8496222,1,Sarkizova-C0702,1.5107495642068565,1.7960602549246814
6.565689,2.0316176,4,Sarkizova-B1502,1.6802168021680217,1.8398268398268398
5.78438,3.1819625,4,Sarkizova-B5802,2.3862788963460106,1.8740629685157422
9.257737,-0.45385578,2,Abelin-B5401,2.910958904109589,1.9031141868512111
9.475424,0.11786273,2,K562_MMlab-B0702,2.0766100743650906,1.9941019519730374
6.7660213,2.836494,4,Sarkizova-C1202,3.3333333333333335,1.9990480723465016
9.179035,0.2866286,2,Sarkizova-B4201,1.0653753026634383,2.014388489208633
6.64352,2.180996,4,Sarkizova-B1503,1.285557986870897,2.1155410903173313
5.8287306,2.7140088,4,Abelin-B5701,0.37488284910965325,2.2079116835326587
5.792949,2.9360478,4,Sarkizova-B5703,0.7163790296320417,2.2443090734209683
5.433968,5.2449207,1,Sarkizova-B3801,1.3592832869941303,2.294981640146879
6.8451643,4.7757916,1,Sarkizova-C1402,2.0526315789473686,2.309711286089239
6.624378,3.4198313,4,Sarkizova-C1203,3.244622675902297,2.35467255334805
5.400388,5.2980785,1,Sarkizova-B3802,1.441753171856978,2.426491578646874
6.5503497,4.07855,1,Sarkizova-C0102,2.5547445255474455,2.503912363067293
8.149993,7.47154,5,Sarkizova-B4006,5.961603233411923,2.5479930191972078
6.6599813,4.9278955,1,Sarkizova-A2301,1.2759643916913948,2.5483304042179262
6.8550076,5.031087,1,Abelin-A2402,1.1086474501108647,2.5491624180626364
5.531189,2.2492535,4,Sarkizova-A2501,1.6369047619047619,2.5792188651436994
6.897191,5.0581937,1,Sarkizova-A2407,0.8859357696566998,2.6115342763873777
9.044232,0.009432205,2,Sarkizova-B0704,1.4939309056956116,2.7649769585253456
6.944763,3.3531153,4,Sarkizova-C1601,4.903105300023348,2.838740458015267
9.221852,0.034415815,2,Sarkizova-B0702,1.1342155009451795,2.968460111317254
5.469971,5.198922,1,Sarkizova-B1510,3.066164604626143,3.013993541442411
8.272958,7.412103,5,Sarkizova-B5001,5.646817248459959,3.263157894736842
9.617054,0.45369574,2,Sarkizova-B5301,1.7569021154535676,3.3509700176366843
8.384036,7.336735,5,Sarkizova-B4501,4.646360351058338,3.4500784108729743
4.9659553,2.1726835,4,K562_MMlab-A3001,1.1095700416088765,3.5182679296346415
5.597712,2.8374622,4,Sarkizova-B5801,1.3826758845058966,3.616852146263911
6.9272475,4.85362,1,Sarkizova-C1403,2.3134571521668295,3.8177735001604107
4.8485274,0.47651738,0,K562_MMlab-A6801,1.3932427725531173,4.244884153559953
5.809403,4.5679946,1,K562_MMlab-B2705,2.329113924050633,4.291739022575044
5.0332546,0.27651894,0,Sarkizova-A3301,2.201151371486624,4.74934036939314
5.8323016,4.5567207,1,Sarkizova-B2705,2.139874739039666,4.773996952767902
4.86905,1.7728062,0,Sarkizova-A3001,1.2746234067207416,4.910714285714286
4.6952677,0.22740223,0,Abelin-A3101,1.588089330024814,5.255613951266125
9.38015,-0.43077305,2,Sarkizova-B5501,4.191343963553531,5.398110661268556
9.336994,-0.36370108,2,Sarkizova-B5502,2.957233848953594,5.577689243027889
4.7533474,0.05802007,0,Sarkizova-A6801,1.7182130584192439,5.766062602965404
4.9378834,1.0026752,0,K562_MMlab-A1101,1.2957192061669673,5.851063829787234
5.014847,1.2491584,0,K562_MMlab-A0301,1.378026070763501,5.899076048329779
9.139906,-0.581204,2,Sarkizova-B5601,4.015056461731493,5.904059040590406
4.6348853,0.23447138,0,Sarkizova-A6601,3.991683991683992,6.138211382113822
4.930265,0.16052905,0,Sarkizova-A3401,4.242867593269934,6.164874551971326
4.8044286,1.3533285,0,Sarkizova-A1101,2.2152519113899234,6.275836151822623
4.8511915,1.1635786,0,Sarkizova-A3402,2.906574394463668,6.63265306122449
5.6191735,2.6488044,4,Sarkizova-A3201,1.1124845488257107,6.75990675990676
4.843691,0.10703015,0,Sarkizova-A3303,2.3042836041358936,7.002249718785152
4.6470222,0.48292127,0,K562_MMlab-A3101,1.2575574365175333,7.014347529036666
4.954516,1.3805902,0,Abelin-A0301,1.9824628288219597,8.73269435569755
4.5294285,0.1469466,0,Sarkizova-A7401,2.0216606498194944,11.596091205211726
